C+A1:BD68lass,Order,Family,Subfamily,Genus,"Taxa (species, agg, gr, type)",AugPD03 T1,AugPD03 T2,AugPD03 T3,AugPD06 T1,AugPD06 T2,AugPD06 T3.1,AugPD07 T1,AugPD37 T1,AugPD37 T2,AugPD37 T3,AugPD38 T1,AugPD38 T2,AugPD38 T3,AugPD47 T1,AugPD47 T2,AugPD47 T3,AugPD51 T1,AugPD51 T2,AugPD51 T3,AugPD52 T1,AugPD52 T2,AugPD52 T3,AugPD53 T1,AugPD63 T1,AugPD67 T1,AugPD67 T2,AugPD67 T3,AugPD70 T1,AugPD70 T2,AugPD70 T3,JulPD06 T2,JulPD06 T3,JulPD07 T1,JulPD37 T1 ,JulPD37 T2,JulPD37 T3,JulPD38 T1,JulPD38 T2,JulPD38 T3,JulPD47 T1,JulPD47 T2,JulPD47 T3,JulPD51 T1,JulPD51 T2,JulPD51 T3,JulPD52 T1,JulPD52 T2,JulPD52 T3,JulPD53 T1,JulPD53 T2,JulPD53 T3,JulPD63 T1,JulPD63 T2,JulPD63 T3,JulPD67 T1,JulPD67 T2,JulPD67 T3,JulPD67 T1 2,JulPD67 T2 2,JulPD67 T3 2,JulPD70 T1,JulPD70 T2,JulPD70 T3
Insecta,Diptera,Chironomidae,,Endochironomus,Endochironomus albipennis,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
Insecta,Diptera,Chironomidae,,Kiefferulus,Kiefferulus tendipiformis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Diptera,Chironomidae,,Paratanytarsus,Paratanytarsus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,3,0,0,0,1,0,0,0,7,4
Insecta,Diptera,Chironomidae,,Microtendipes,Microtendipes pedellus aggregate,0,1,0,0,0,0,0,27,22,4,2,1,5,0,0,0,2,4,0,0,54,145,0,0,101,0,0,0,0,0,0,0,0,0,5,31,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0
Clitellata,,,,,Hirudinae,1,0,3,5,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,11,3,3,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,8,3,15,0,9,5,1,8,7
Insecta,Hemiptera,Corixidae,,,Corixidae,82,185,3,22,7,8,194,53,26,3,11,13,3,1,12,12,46,5,47,10,10,79,8,43,28,21,15,178,232,139,3,1,5,0,1,0,4,83,1,27,0,258,15,71,42,1,0,2,34,48,68,4,0,0,112,3,23,157,878,970,39,32,231
,,,,Coenagrionidae,Coenagrionidae spp.,1,7,0,6,1,0,2,104,121,24,68,35,38,2,3,3,5,6,11,71,64,235,1,0,0,0,4,48,42,110,1,1,0,0,45,15,39,0,41,12,5,23,35,9,19,35,43,56,0,0,1,0,0,0,0,1,0,1,2,1,8,43,8
Insecta,Diptera,Chironomidae,,Chironomus,Chironomus acerbiphilus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,21,0
,,,,,Glyptotendipes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Diptera,Chironomidae,,Dicrotendipes,Dicrotendipes thanatogratus,0,0,1,0,0,0,0,0,9,3,7,16,10,0,2,7,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,1,3,1,2,6,2,2,0,0,2,15,14,33,1,0,8,0,0,1,0,0,2,2,0,1,1,1,1
Insecta,Diptera,Chironomidae,,Chironomus,Chironomus classicaudatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,1,0,6,0,0,0,0,0,3,1,0,4,37,16,32,0,0,0,0,0,1,3,37,3
Insecta,Diptera,Chironomidae,,Crictopus,Cricotopus sylvestris,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,2,1,1,0,3,2,0,0,1,0
Insecta,Diptera,Chironomidae,,Crictopus,Cricotopus cylindraceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
Insecta,Odonata,Libellulidae,,,Libellulidae spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Insecta,Coleoptera,,,,Terrestrial beetle,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gordiida,,,,,Nematomorpha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Trichoptera,Limnephilidae,,,Limniphilidae spp.,3,7,0,4,5,0,1,9,7,7,2,1,2,4,3,5,16,25,6,4,1,15,0,6,0,0,1,14,1,6,0,4,0,4,13,0,3,106,3,33,15,11,8,8,8,11,7,21,1,1,2,0,3,0,0,0,0,0,0,0,0,1,0
,,,,,Barbipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
